                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4497,                 9.6005,                 1.8752,                0.34277,                  0.625,                 0.2727,                0.20854,                0.82345,                 2.4107,                 0.8572,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.3405,                 9.6853,                 1.7667,                0.08577,                    0.5,                0.08599,                0.04826,                  1.341,                 3.4727,                 1.1495,              0.0013094,              0.0013094,              0.0013094
                      3,                 2.9731,                 17.379,                 1.9971,                0.00317,                  0.125,                0.00221,                0.00072,                 2.7642,                 60.746,                 2.0505,              0.0019673,              0.0019673,              0.0019673
                      4,                 3.1116,                 21.619,                 2.1578,                 0.0057,                  0.375,                0.00266,                 0.0009,                  2.987,                 16.854,                 2.2016,              0.0019802,              0.0019802,              0.0019802
                      5,                 3.1065,                 22.076,                 2.1105,                0.00414,                  0.125,                0.00224,                0.00088,                 2.8395,                 17.946,                 1.9723,              0.0019736,              0.0019736,              0.0019736
                      6,                 3.0424,                 29.146,                 2.5108,                0.00345,                   0.75,                0.00651,                0.00173,                    nan,                    nan,                    nan,               0.001967,               0.001967,               0.001967
                      7,                 3.3934,                 7.5986,                 2.5175,                0.00345,                   0.75,                0.00651,                0.00173,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      8,                 3.9665,                 5.1688,                 2.7024,                0.00345,                   0.75,                0.00651,                0.00173,                    nan,                    nan,                    nan,              0.0019538,              0.0019538,              0.0019538
                      9,                 3.1621,                 4.1172,                 2.2677,                0.00345,                   0.75,                0.00651,                0.00173,                      0,                 268.23,                      0,              0.0019472,              0.0019472,              0.0019472
                     10,                  2.919,                 4.1193,                 2.4665,                0.00345,                   0.75,                0.00651,                0.00173,                      0,                 3.2012,                      0,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.7203,                 4.0187,                   2.18,                0.00345,                   0.75,                0.00651,                0.00173,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                     12,                 2.5682,                 3.6594,                 2.0636,                0.00345,                   0.75,                0.00651,                0.00173,                 1.5593,                 2.0967,                 1.9383,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.4605,                 3.1053,                 2.0648,                0.00149,                   0.25,                0.24557,                0.12425,                 2.4794,                 3.1961,                 2.4557,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.5853,                 2.8956,                 2.1612,                0.29268,                  0.375,                0.24517,                0.06384,                 2.7371,                 2.6859,                 2.8005,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.3998,                 2.8736,                 2.0809,                0.56961,                0.33701,                0.31371,                0.17404,                 2.0514,                 1.9498,                 2.3491,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.4003,                 2.6606,                  2.214,                0.36909,                  0.375,                0.33894,                 0.2309,                 1.5894,                 2.1171,                 2.1205,               0.001901,               0.001901,               0.001901
                     17,                 2.3405,                 2.4005,                 2.0858,                0.00857,                    0.5,                 0.0053,                0.00193,                 2.3192,                 97.223,                 2.9297,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.3489,                 2.3225,                 2.1497,                0.03369,                    0.5,                0.08018,                0.01724,                 1.6297,                 33.073,                 2.1423,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.3489,                 2.2818,                 2.2088,                0.04949,                  0.375,                0.14602,                0.05157,                 1.7725,                 44.497,                 2.2979,              0.0018812,              0.0018812,              0.0018812
                     20,                 2.1101,                 2.0215,                 2.0568,                0.52833,                 0.7029,                0.63327,                0.26163,                 1.8393,                 1.6367,                 2.1284,              0.0018746,              0.0018746,              0.0018746
                     21,                 2.0881,                 1.8418,                 2.1104,                0.75819,                    0.5,                0.53327,                0.24748,                 1.4662,                 1.4135,                 1.9689,               0.001868,               0.001868,               0.001868
                     22,                 2.0678,                 1.7956,                 2.0699,                0.82607,                0.59777,                  0.705,                0.38077,                 1.4962,                 1.3678,                 2.0199,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.1297,                 1.8608,                 2.0448,                0.69466,                   0.75,                0.75583,                0.39556,                  1.695,                 1.1882,                   2.06,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.0897,                 1.8746,                 2.0286,                0.76449,                 0.8152,                0.78056,                 0.3113,                 1.7059,                 1.2279,                 1.9993,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.9568,                  1.665,                 1.9185,                0.82997,                  0.625,                   0.84,                0.36889,                 1.5498,                 1.2465,                 1.8996,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.8576,                 1.5045,                  1.847,                 0.8277,                  0.875,                0.90775,                0.43005,                 1.4111,                 1.1431,                 1.8211,               0.001835,               0.001835,               0.001835
                     27,                 2.0245,                 1.5568,                 1.9776,                0.84515,                  0.875,                0.92375,                0.42303,                 1.3895,                 1.1852,                 1.8751,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.9441,                 1.6542,                 1.9106,                0.79313,                  0.625,                 0.7775,                0.37978,                  1.383,                 1.1657,                 1.8827,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.7895,                 1.4637,                 1.8358,                0.77006,                0.84026,                0.85725,                0.37789,                 1.7028,                 1.2701,                 1.9706,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.6981,                 1.3739,                 1.8145,                0.86911,                0.83378,                0.90775,                0.44195,                 1.5458,                 1.2371,                 1.8576,              0.0018086,              0.0018086,              0.0018086
                     31,                  1.715,                 1.3631,                 1.7752,                0.82633,                  0.875,                 0.9176,                0.58231,                 1.3612,                 1.0989,                 1.7564,               0.001802,               0.001802,               0.001802
                     32,                 1.7684,                 1.4499,                 1.8735,                0.81938,                  0.875,                0.93102,                0.58908,                 1.2231,                 1.1821,                 1.7477,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.6986,                  1.436,                 1.8645,                0.86939,                  0.875,                0.96227,                0.60537,                 1.1672,                 1.1387,                 1.6889,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.7485,                 1.3141,                 1.8297,                 0.8778,                0.90019,                0.98167,                0.56607,                 1.4076,                  1.055,                 1.7388,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.6365,                 1.3716,                 1.6745,                0.87905,                0.91144,                0.98167,                0.55422,                 1.4241,                0.98019,                 1.7618,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.5878,                 1.2667,                 1.6425,                0.85216,                  0.875,                0.94602,                0.53667,                 1.3174,                0.91133,                 1.7437,               0.001769,               0.001769,               0.001769
                     37,                 1.6108,                 1.2179,                 1.6885,                      1,                0.84831,                0.93147,                0.56178,                 1.2142,                0.92822,                  1.691,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.5222,                 1.2426,                 1.6276,                0.95717,                  0.875,                  0.939,                0.56125,                 1.0943,                 0.9623,                 1.6005,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.4855,                 1.2037,                 1.6378,                0.79033,                  0.875,                 0.9235,                0.50299,                 1.2152,                0.93451,                 1.6767,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.5104,                 1.1739,                 1.5826,                0.86678,                0.81749,                0.92732,                0.50678,                 1.2781,                0.94299,                 1.7237,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.4901,                  1.071,                 1.5623,                0.96401,                  0.875,                0.94357,                0.55466,                  1.245,                0.92561,                 1.7664,               0.001736,               0.001736,               0.001736
                     42,                 1.5803,                 1.2493,                 1.7802,                0.89219,                  0.875,                0.96227,                0.59817,                 1.2727,                0.83898,                 1.8148,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.5011,                 1.1944,                 1.6275,                 0.7798,                      1,                  0.971,                0.61618,                 1.2449,                0.88051,                 1.7762,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.4143,                 1.0892,                 1.5413,                0.94466,                      1,                  0.995,                0.73837,                 1.0772,                0.89748,                 1.6185,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.3843,                 1.0979,                 1.5735,                0.97325,                      1,                  0.995,                0.63515,                 1.4212,                0.95936,                 1.7668,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.5153,                 1.2357,                  1.616,                0.97618,                      1,                  0.995,                0.57285,                 1.3554,                 1.0413,                 1.7298,               0.001703,               0.001703,               0.001703
                     47,                 1.5957,                 1.3167,                 1.7591,                0.96657,                      1,                  0.995,                0.49736,                 1.2083,                 1.0998,                 1.6891,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.5034,                 1.1967,                  1.697,                0.88779,                 0.9901,                0.98167,                 0.5248,                 1.2752,                 1.0673,                 1.7466,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.3769,                 1.0715,                 1.5447,                0.86086,                      1,                0.98167,                0.55782,                 1.2804,                0.91371,                 1.6911,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.3869,                 1.0411,                 1.5498,                0.87265,                      1,                0.96722,                0.62215,                 1.1411,                0.81351,                 1.6067,              0.0016766,              0.0016766,              0.0016766
                     51,                  1.385,                 1.0741,                 1.5208,                0.98347,                      1,                  0.995,                0.65661,                 1.0907,                0.78547,                 1.6346,                0.00167,                0.00167,                0.00167
                     52,                 1.4685,                 1.1244,                 1.5836,                0.91658,                      1,                  0.995,                0.57159,                 1.2121,                0.82099,                 1.6848,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.3222,                 1.1158,                 1.4526,                0.99012,                      1,                  0.995,                0.57067,                   1.22,                0.81652,                 1.6919,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.3333,                 1.0539,                 1.4092,                0.95876,                      1,                  0.995,                0.60389,                 1.1921,                0.82127,                 1.6563,              0.0016502,              0.0016502,              0.0016502
